run_id,source,profile_family,profile_variant,duration_s,sample_time_s,initial_hold_s,cooldown_s,seed,ambient_ref_start,t1_start,t2_start,t1_end,t2_end,q1_mean,q1_max,q2_mean,q2_max,n_segments_q1,n_segments_q2,coordination_mode,contains_short_segment,profile_signature,run_ok,comment
run_0198,model,staggered_steps,staggered_steps_v01,600,1.0,27,60,42,20.949499999999997,20.949499999999997,20.6272,27.3955,27.717799999999997,32.025,90.0,31.008333333333333,95.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 18, ""q1_mean_bin"": 6, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 6, ""short"": 1}",True,
run_0199,model,q1_dominant,q1_dominant_v01,600,1.0,28,60,42,20.949499999999997,20.949499999999997,20.949499999999997,24.1725,22.561,18.266666666666666,85.0,8.933333333333334,35.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 17, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 7, ""q2_mean_bin"": 2, ""q2_nseg"": 5, ""short"": 1}",True,
run_0200,model,coordinated,coordinated_v01,600,1.0,22,60,42,20.949499999999997,20.949499999999997,20.949499999999997,26.106299999999997,24.1725,31.433333333333334,90.0,32.005,99.0,5,5,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 18, ""q1_mean_bin"": 6, ""q1_nseg"": 7, ""q2_max_bin"": 20, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0201,model,q1_dominant,q1_dominant_v01,600,1.0,29,60,42,20.788349999999998,20.949499999999997,20.949499999999997,27.3955,24.494799999999998,25.283333333333335,80.0,9.916666666666666,20.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 16, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 4, ""q2_mean_bin"": 2, ""q2_nseg"": 5, ""short"": 1}",True,
run_0202,model,staggered_steps,staggered_steps_v01,600,1.0,21,60,42,20.949499999999997,20.949499999999997,20.6272,24.494799999999998,24.494799999999998,25.325,75.0,23.975,90.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 15, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 18, ""q2_mean_bin"": 5, ""q2_nseg"": 5, ""short"": 1}",True,
run_0203,model,q1_dominant,q1_dominant_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,32.8746,29.6516,49.00833333333333,100.0,25.683333333333334,40.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 20, ""q1_mean_bin"": 10, ""q1_nseg"": 7, ""q2_max_bin"": 8, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0204,model,coordinated,coordinated_v01,600,1.0,25,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.461699999999997,24.1725,27.391666666666666,100.0,23.775,75.0,4,4,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 20, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 15, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0205,model,q2_dominant,q2_dominant_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,26.106299999999997,24.817099999999996,14.825,35.0,33.69166666666667,90.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 7, ""q1_mean_bin"": 3, ""q1_nseg"": 7, ""q2_max_bin"": 18, ""q2_mean_bin"": 7, ""q2_nseg"": 7, ""short"": 1}",True,
run_0206,model,staggered_steps,staggered_steps_v01,600,1.0,22,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.461699999999997,24.1725,30.041666666666668,80.0,32.99166666666667,95.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 6, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 7, ""q2_nseg"": 5, ""short"": 1}",True,
run_0207,model,q2_dominant,q2_dominant_v01,600,1.0,25,60,42,20.788349999999998,20.6272,20.949499999999997,27.073199999999996,28.6847,12.108333333333333,30.0,52.88333333333333,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 6, ""q1_mean_bin"": 2, ""q1_nseg"": 7, ""q2_max_bin"": 19, ""q2_mean_bin"": 11, ""q2_nseg"": 6, ""short"": 1}",True,
run_0208,model,staggered_steps,staggered_steps_v01,600,1.0,20,60,42,20.949499999999997,20.949499999999997,20.949499999999997,21.9164,23.205599999999997,6.966666666666667,30.0,21.141666666666666,95.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 6, ""q1_mean_bin"": 1, ""q1_nseg"": 5, ""q2_max_bin"": 19, ""q2_mean_bin"": 4, ""q2_nseg"": 5, ""short"": 1}",True,
